@relation regressiveOilHistoryData

@attribute CrudeOil numeric
@attribute Temperature numeric
@attribute AnilinePoint numeric
@attribute APIgravity numeric
@attribute SulphurContent numeric
@attribute Viscosity numeric
@attribute ReidVaporPressure numeric
@attribute AsphaltenesCarbonResidue numeric
@attribute OilQuality numeric
@attribute RefinaryNodePerformace numeric

@data
580.77,10,111,0,0,1,0,1,1,438.59
590.55,10,111,0,0,1,0,1,1,448.48
600.33,10,111,0,0,1,0,1,1,458.37
610.11,10,111,0,0,1,0,1,1,468.26
619.89,10,111,0,0,1,0,1,1,478.15
629.67,10,111,0,0,1,0,1,1,488.04
639.45,10,111,0,0,1,0,1,1,497.93
649.23,10,111,0,0,1,0,1,1,507.82
659.01,10,111,0,0,1,0,1,1,517.71
668.79,10,111,0,0,1,0,1,1,527.6
678.57,10,111,0,0,1,0,1,1,537.49
688.35,10,111,0,0,1,0,1,1,547.38
698.13,10,111,0,0,1,0,1,1,557.27
707.91,10,111,0,0,1,0,1,1,567.16
717.69,10,111,0,0,1,0,1,1,577.05
727.47,10,111,1,0,1,0,1,1,586.94
737.25,10,111,1,0,1,0,1,1,596.83
747.03,10,111,1,0,1,0,1,1,606.72
756.81,10,111,1,0,1,0,1,1,616.61
766.59,10,111,1,0,1,0,1,1,626.5
776.37,10,111,1,0,1,0,1,1,636.39
786.15,10,111,1,0,1,0,1,1,646.28
795.93,10,111,1,0,1,0,1,1,656.17
805.71,10,111,1,0,1,0,1,1,666.06
815.49,10,111,1,0,1,0,1,1,675.95
825.27,10,111,1,0,1,0,1,1,685.84
835.05,10,111,1,0,1,0,1,1,695.73
844.83,10,111,1,0,1,0,1,1,705.62
854.61,10,111,1,0,1,0,1,1,715.51
864.39,10,111,1,0,1,0,1,1,725.4
874.17,10,111,1,0,1,0,1,1,735.29
883.95,10,111,2,0,1,0,1,1,745.18
893.73,10,111,2,0,1,0,1,1,755.07
903.51,10,111,2,0,1,0,1,1,764.96
913.29,10,111,2,0,1,0,1,1,774.85
923.07,10,111,2,0,1,0,1,1,784.74
932.85,10,111,2,0,1,0,1,1,794.63
942.63,10,111,2,0,1,0,1,1,804.52
952.41,10,111,2,0,1,0,1,1,814.41
962.19,10,111,2,0,1,0,1,1,824.3
971.97,10,111,2,0,1,0,1,1,834.19
981.75,10,111,2,0,1,0,1,1,844.08
991.53,10,111,2,0,1,0,1,1,853.97
1001.31,10,111,2,0,1,0,1,1,863.86
1011.09,10,111,2,0,1,0,1,1,873.75
1020.87,10,111,2,0,1,0,1,1,883.64
1030.65,10,111,2,0,1,0,1,1,893.53
1040.43,10,111,2,0,1,0,1,1,903.42
1050.21,10,111,2,0,1,0,1,1,913.31
1059.99,10,111,2,0,1,0,1,1,923.2
1069.77,10,111,2,0,1,0,1,1,933.09
1079.55,10,111,2,0,1,0,1,1,942.98
1089.33,10,111,2,0,1,0,1,1,952.87
1099.11,10,111,2,0,1,0,1,1,962.76
1108.89,10,111,2,0,1,0,1,1,972.65
1118.67,10,111,2,0,1,0,1,1,982.54
1128.45,10,111,2,0,1,0,1,1,992.43
1138.23,10,111,2,0,1,0,1,1,1002.32
1148.01,10,111,2,0,1,0,1,1,1012.21
1157.79,10,111,2,0,1,0,1,1,1022.1
1167.57,10,111,2,0,1,0,1,1,1031.99
1177.35,10,111,2,0,1,0,1,1,1041.88
1187.13,10,111,2,0,1,0,1,1,1051.77
1196.91,10,111,2,0,1,0,1,1,1061.66
1206.69,10,111,2,0,1,0,1,1,1071.55
1216.47,10,111,2,0,1,0,1,1,1081.44
1226.25,10,111,2,0,1,0,1,1,1091.33
1236.03,10,111,2,0,1,0,1,1,1101.22
1245.81,10,111,2,0,1,0,1,1,1111.11
1255.59,10,111,2,0,1,0,1,1,1121
1265.37,10,111,2,0,1,0,1,1,1130.89
1275.15,10,111,2,0,1,0,1,1,1140.78
1284.93,10,111,2,0,1,0,1,1,1150.67
1294.71,10,111,2,0,1,0,1,1,1160.56
1304.49,10,111,2,0,1,0,1,1,1170.45
1314.27,10,111,2,0,1,0,1,1,1180.34
1324.05,10,111,2,0,1,0,1,1,1190.23
1333.83,10,111,2,0,1,0,1,1,1200.12
1343.61,10,111,2,0,1,0,1,1,1210.01
1353.39,10,111,2,0,1,0,1,1,1219.9
1363.17,10,111,2,0,1,0,1,1,1229.79
1372.95,10,111,2,0,1,0,1,1,1239.68
1382.73,10,111,2,0,1,0,1,1,1249.57
1392.51,10,111,2,0,1,0,1,1,1259.46
1402.29,10,111,2,0,1,0,1,1,1269.35
1412.07,10,111,2,0,1,0,1,1,1279.24
1421.85,10,111,2,0,1,0,1,1,1289.13
1431.63,10,111,2,0,1,0,1,1,1299.02
1441.41,23,111,2,0,1,0,1,1,1308.91
1451.19,36,111,2,0,1,0,1,1,1318.8
1460.97,49,111,2,0,1,0,1,1,1328.69
1470.75,62,111,2,0,1,0,1,1,1338.58
1480.53,75,111,2,0,1,0,1,1,1348.47
1490.31,88,111,2,0,1,0,1,1,1358.36
1500.09,101,111,2,0,1,0,1,1,1368.25
1509.87,114,111,2,0,1,0,1,1,1378.14
1519.65,127,111,2,0,1,0,1,1,1388.03
1529.43,140,111,2,0,1,1,1,1,1397.92
1539.21,153,111,2,0,1,1,1,1,1407.81
1548.99,166,111,2,0,1,1,1,1,1417.7
1558.77,179,111,2,0,1,1,1,1,1427.59
1568.55,192,111,2,0,1,1,1,1,1437.48
1578.33,205,111,2,0,1,1,1,1,1447.37
1588.11,218,111,2,0,1,1,1,1,1457.26
1597.89,231,111,2,0,1,1,1,1,1467.15
1607.67,244,111,2,0,1,1,1,1,1477.04
1617.45,257,111,2,0,1,1,1,1,1486.93
1627.23,270,111,2,0,1,1,1,1,1496.82
1637.01,283,111,2,0,1,1,1,1,1506.71
1646.79,296,111,2,0,1,1,1,1,1516.6
1656.57,309,111,2,0,1,1,1,1,1526.49
1666.35,322,111,2,0,1,1,1,1,1536.38
1676.13,335,111,2,0,1,1,1,1,1546.27
1685.91,348,111,2,0,1,1,1,1,1556.16
1695.69,361,111,2,0,1,1,1,1,1566.05
1705.47,374,111,2,0,1,1,1,1,1575.94
1715.25,387,212,2,0,1,1,1,1,1585.83
1725.03,400,313,2,0,1,1,1,1,1595.72
1734.81,413,414,2,0,2,1,1,1,1605.61
1744.59,426,515,2,1,2,1,1,1,1615.5
1754.37,439,616,2,1,2,1,1,1,1625.39
1764.15,452,717,2,1,2,1,1,1,1635.28
1773.93,465,818,2,1,2,1,1,1,1645.17
1783.71,478,919,2,1,2,1,1,1,1655.06
1793.49,491,1020,2,1,2,1,1,1,1664.95
1803.27,504,1121,2,1,2,1,1,1,1674.84
1813.05,517,1222,2,1,2,1,1,1,1684.73
